iter	Passed	Remaining
0	72	21659
1	136	20401
2	198	19683
3	261	19365
4	329	19439
5	395	19371
6	478	20045
7	554	20230
8	612	19798
9	694	20130
10	735	19321
11	806	19354
12	862	19048
13	917	18743
14	960	18241
15	1010	17939
16	1068	17786
17	1118	17523
18	1173	17357
19	1224	17143
20	1273	16919
21	1324	16730
22	1375	16562
23	1424	16381
24	1464	16114
25	1512	15938
26	1574	15915
27	1629	15829
28	1693	15827
29	1733	15598
30	1795	15579
31	1873	15693
32	1926	15584
33	1979	15487
34	2039	15441
35	2089	15321
36	2149	15278
37	2197	15152
38	2260	15126
39	2308	15005
40	2360	14910
41	2404	14770
42	2446	14620
43	2508	14594
44	2547	14437
45	2592	14313
46	2643	14229
47	2711	14237
48	2758	14130
49	2802	14014
50	2852	13927
51	2907	13867
52	2947	13738
53	3033	13819
54	3076	13702
55	3136	13664
56	3186	13584
57	3234	13496
58	3276	13383
59	3322	13291
60	3386	13267
61	3421	13134
62	3474	13069
63	3537	13043
64	3603	13027
65	3665	12997
66	3707	12894
67	3757	12819
68	3810	12755
69	3858	12678
70	3916	12632
71	3980	12603
72	4031	12537
73	4096	12512
74	4152	12458
75	4226	12455
76	4272	12373
77	4321	12300
78	4361	12202
79	4415	12141
80	4480	12112
81	4539	12068
82	4585	11988
83	4630	11906
84	4694	11873
85	4745	11808
86	4793	11736
87	4836	11650
88	4904	11628
89	5001	11671
90	5076	11660
91	5124	11586
92	5166	11500
93	5217	11433
94	5276	11386
95	5358	11385
96	5406	11315
97	5460	11255
98	5513	11194
99	5586	11173
100	5651	11135
101	5726	11116
102	5824	11139
103	5890	11100
104	5941	11034
105	5991	10965
106	6053	10919
107	6112	10867
108	6159	10793
109	6239	10776
110	6305	10735
111	6361	10678
112	6422	10628
113	6473	10562
114	6542	10525
115	6593	10457
116	6654	10408
117	6725	10372
118	6785	10320
119	6844	10267
120	6897	10203
121	6956	10149
122	7004	10079
123	7055	10013
124	7108	9951
125	7163	9892
126	7274	9909
127	7344	9868
128	7423	9841
129	7473	9773
130	7509	9687
131	7562	9625
132	7610	9556
133	7661	9490
134	7779	9507
135	7880	9503
136	7961	9472
137	8027	9423
138	8086	9366
139	8174	9342
140	8217	9265
141	8289	9223
142	8341	9157
143	8394	9093
144	8453	9036
145	8502	8968
146	8559	8908
147	8640	8874
148	8689	8806
149	8757	8757
150	8809	8692
151	8865	8631
152	8925	8575
153	8980	8513
154	9034	8451
155	9080	8382
156	9140	8325
157	9188	8258
158	9234	8188
159	9287	8126
160	9348	8070
161	9401	8008
162	9485	7972
163	9553	7922
164	9680	7920
165	9782	7896
166	9893	7879
167	9979	7841
168	10058	7797
169	10149	7761
170	10216	7707
171	10280	7650
172	10332	7584
173	10409	7538
174	10472	7480
175	10509	7404
176	10565	7341
177	10608	7271
178	10645	7196
179	10715	7143
180	10773	7083
181	10811	7009
182	10861	6944
183	10941	6897
184	10975	6822
185	11038	6765
186	11076	6693
187	11122	6626
188	11162	6555
189	11209	6489
190	11294	6445
191	11377	6400
192	11423	6333
193	11461	6262
194	11541	6214
195	11600	6155
196	11662	6097
197	11721	6038
198	11765	5971
199	11818	5909
200	11873	5848
201	11927	5786
202	11971	5720
203	12019	5656
204	12068	5592
205	12122	5531
206	12174	5469
207	12250	5418
208	12299	5355
209	12365	5299
210	12414	5236
211	12481	5180
212	12530	5117
213	12567	5050
214	12614	4987
215	12669	4926
216	12733	4870
217	12785	4809
218	12844	4750
219	12905	4692
220	12952	4630
221	13019	4574
222	13063	4510
223	13101	4445
224	13145	4381
225	13187	4318
226	13268	4266
227	13329	4209
228	13370	4145
229	13458	4096
230	13532	4042
231	13649	4000
232	13758	3956
233	13822	3898
234	13882	3839
235	13932	3778
236	13998	3721
237	14047	3659
238	14098	3598
239	14165	3541
240	14210	3478
241	14254	3416
242	14314	3357
243	14366	3297
244	14442	3242
245	14492	3181
246	14528	3117
247	14605	3062
248	14699	3010
249	14748	2949
250	14799	2889
251	14846	2827
252	14919	2771
253	14967	2710
254	15004	2647
255	15079	2591
256	15130	2531
257	15172	2469
258	15255	2414
259	15309	2355
260	15370	2296
261	15460	2242
262	15529	2184
263	15586	2125
264	15634	2064
265	15750	2013
266	15826	1956
267	15909	1899
268	15996	1843
269	16098	1788
270	16200	1733
271	16330	1681
272	16448	1626
273	16528	1568
274	16639	1512
275	16698	1452
276	16778	1393
277	16858	1334
278	16929	1274
279	16992	1213
280	17095	1155
281	17195	1097
282	17324	1040
283	17388	979
284	17525	922
285	17598	861
286	17705	802
287	17806	741
288	17888	680
289	17971	619
290	18091	559
291	18303	501
292	18358	438
293	18457	376
294	18519	313
295	18567	250
296	18615	188
297	18651	125
298	18707	62
299	18749	0
