iter	Logloss
0	0.6261904992
1	0.5767203637
2	0.5416681545
3	0.5198310323
4	0.4992026324
5	0.4868780999
6	0.4778253933
7	0.4733181802
8	0.464212687
9	0.4514718747
10	0.4451156901
11	0.4414930579
12	0.4381836404
13	0.4358421183
14	0.4336949201
15	0.4316563634
16	0.4268624659
17	0.4256091398
18	0.4240830102
19	0.4223810682
20	0.4212442295
21	0.4193439387
22	0.4168499018
23	0.4154429055
24	0.4144408685
25	0.4136063616
26	0.4126816601
27	0.4102829981
28	0.4097213776
29	0.4096285404
30	0.4088230095
31	0.4079583492
32	0.4076405962
33	0.4059737452
34	0.4051005686
35	0.4047171349
36	0.4043454844
37	0.4032439062
38	0.4030435213
39	0.4027690147
40	0.4024009583
41	0.4019275522
42	0.4017228052
43	0.4013332889
44	0.3968052114
45	0.3958280344
46	0.3952462897
47	0.3948432348
48	0.394503735
49	0.3941089417
50	0.3936204425
51	0.3930262705
52	0.3927354118
53	0.3924819674
54	0.391835293
55	0.3913245549
56	0.3906658479
57	0.3901144246
58	0.3897682701
59	0.3894284244
60	0.3886642452
61	0.3883745109
62	0.3879579063
63	0.3872256376
64	0.3869490138
65	0.386679133
66	0.3863386186
67	0.3861084871
68	0.3858100613
69	0.3855616035
70	0.3849929051
71	0.3847960982
72	0.384362858
73	0.3840662232
74	0.3838091355
75	0.3836055026
76	0.3833646696
77	0.3831267844
78	0.3819520724
79	0.3817198239
80	0.3811951156
81	0.3809353946
82	0.3805639207
83	0.3803323194
84	0.3800454324
85	0.3796760353
86	0.3794498385
87	0.379225755
88	0.3790049635
89	0.3787865659
90	0.3785512599
91	0.3782353677
92	0.3780218314
93	0.3778054316
94	0.3775928919
95	0.3767877622
96	0.3762725703
97	0.3760385962
98	0.3758261341
99	0.3756155244
