iter	Passed	Remaining
0	31	3090
1	58	2872
2	85	2754
3	112	2700
4	139	2655
5	166	2609
6	192	2561
7	220	2539
8	247	2502
9	275	2478
10	302	2446
11	328	2406
12	375	2516
13	409	2516
14	446	2529
15	478	2509
16	507	2477
17	535	2440
18	563	2402
19	591	2366
20	618	2328
21	645	2287
22	674	2256
23	701	2221
24	727	2181
25	755	2149
26	782	2116
27	809	2081
28	837	2050
29	865	2019
30	893	1988
31	923	1962
32	954	1938
33	984	1911
34	1010	1876
35	1037	1844
36	1064	1812
37	1092	1783
38	1121	1753
39	1148	1722
40	1174	1690
41	1203	1662
42	1233	1634
43	1260	1604
44	1289	1575
45	1317	1547
46	1343	1514
47	1371	1485
48	1403	1461
49	1433	1433
50	1459	1402
51	1487	1373
52	1516	1344
53	1543	1314
54	1571	1285
55	1598	1256
56	1624	1225
57	1654	1198
58	1682	1169
59	1708	1139
60	1738	1111
61	1767	1083
62	1792	1052
63	1822	1024
64	1851	997
65	1880	968
66	1907	939
67	1938	912
68	1968	884
69	1996	855
70	2022	826
71	2052	798
72	2081	769
73	2108	740
74	2138	712
75	2168	684
76	2198	656
77	2228	628
78	2257	600
79	2287	571
80	2317	543
81	2345	514
82	2374	486
83	2403	457
84	2432	429
85	2463	401
86	2491	372
87	2520	343
88	2550	315
89	2579	286
90	2605	257
91	2634	229
92	2665	200
93	2695	172
94	2722	143
95	2750	114
96	2780	85
97	2807	57
98	2835	28
99	2865	0
